Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,3470.000000,3550.000000,3440.000000,3440.000000,3116.205811,96802900
2020-03-03,3510.000000,3660.000000,3470.000000,3620.000000,3279.262939,114698200
2020-03-04,3640.000000,3840.000000,3630.000000,3830.000000,3469.496582,136081000
2020-03-05,3820.000000,3880.000000,3760.000000,3830.000000,3469.496582,101235000
2020-03-06,3730.000000,3790.000000,3710.000000,3750.000000,3397.026611,86476000
2020-03-09,3560.000000,3620.000000,3500.000000,3500.000000,3170.558105,109347300
2020-03-10,3480.000000,3620.000000,3480.000000,3490.000000,3161.499268,119718000
2020-03-11,3470.000000,3480.000000,3370.000000,3400.000000,3079.970703,115486900
2020-03-12,3300.000000,3440.000000,3270.000000,3310.000000,2998.442139,84363800
2020-03-13,3310.000000,3310.000000,3310.000000,3310.000000,2998.442139,0
2020-03-16,3300.000000,3300.000000,3160.000000,3160.000000,2862.561035,115972300
2020-03-17,3160.000000,3160.000000,2940.000000,2940.000000,2663.268799,150122700
2020-03-18,3010.000000,3080.000000,2740.000000,2810.000000,2545.505127,150147300
2020-03-19,2810.000000,2810.000000,2620.000000,2620.000000,2373.389404,138987300
2020-03-20,2660.000000,2990.000000,2450.000000,2880.000000,2608.916260,267694700
2020-03-23,2880.000000,2880.000000,2680.000000,2680.000000,2427.741699,86157200
2020-03-24,2700.000000,2880.000000,2570.000000,2620.000000,2373.389404,243778900
2020-03-26,2550.000000,3080.000000,2550.000000,2980.000000,2699.503662,267369500
2020-03-27,3050.000000,3270.000000,3050.000000,3090.000000,2799.149902,200952500
2020-03-30,3060.000000,3180.000000,2880.000000,3140.000000,2844.443604,134474300
2020-03-31,3180.000000,3300.000000,3120.000000,3160.000000,2862.561035,151302900
2020-04-01,3180.000000,3200.000000,3040.000000,3100.000000,2808.208740,104550600
2020-04-02,3100.000000,3130.000000,3020.000000,3130.000000,2835.384766,92893600
2020-04-03,3150.000000,3220.000000,3120.000000,3200.000000,2898.796143,83469200
2020-04-06,3280.000000,3330.000000,3180.000000,3330.000000,3016.559570,115495000
2020-04-07,3390.000000,3500.000000,3200.000000,3220.000000,2916.913574,166425600
2020-04-08,3220.000000,3220.000000,3050.000000,3110.000000,2817.267334,124553900
2020-04-09,3110.000000,3180.000000,3030.000000,3120.000000,2826.326172,122622400
2020-04-13,3140.000000,3230.000000,3130.000000,3180.000000,2880.678467,45469500
2020-04-14,3200.000000,3250.000000,3160.000000,3240.000000,2935.031006,79114600
2020-04-15,3250.000000,3300.000000,3090.000000,3110.000000,2817.267334,69832000
2020-04-16,3110.000000,3110.000000,3000.000000,3000.000000,2717.621094,109582500
2020-04-17,3050.000000,3250.000000,3050.000000,3230.000000,2925.972412,127860400
2020-04-20,3270.000000,3270.000000,3120.000000,3120.000000,2826.326172,77306900
2020-04-21,3120.000000,3130.000000,3050.000000,3070.000000,2781.032471,43239400
2020-04-22,3050.000000,3270.000000,3030.000000,3160.000000,2862.561035,126278300
2020-04-23,3200.000000,3240.000000,3070.000000,3070.000000,2781.032471,117391500
2020-04-24,3100.000000,3160.000000,3080.000000,3090.000000,2799.149902,84061400
2020-04-27,3120.000000,3200.000000,3100.000000,3150.000000,2853.502197,85475400
2020-04-28,3170.000000,3200.000000,3140.000000,3160.000000,2862.561035,80212700
2020-04-29,3200.000000,3390.000000,3100.000000,3350.000000,3034.677002,154902100
2020-04-30,3400.000000,3540.000000,3350.000000,3500.000000,3170.558105,163170100
2020-05-04,3400.000000,3400.000000,3260.000000,3320.000000,3007.500732,108988600
2020-05-05,3320.000000,3390.000000,3320.000000,3320.000000,3007.500732,74036700
2020-05-06,3300.000000,3340.000000,3220.000000,3240.000000,2935.031006,86395000
2020-05-08,3270.000000,3290.000000,3150.000000,3190.000000,2889.737061,143584400
2020-05-11,3220.000000,3250.000000,3210.000000,3220.000000,2916.913574,58473100
2020-05-12,3270.000000,3270.000000,3100.000000,3150.000000,2853.502197,138978700
2020-05-13,3150.000000,3170.000000,3080.000000,3160.000000,2862.561035,73238700
2020-05-14,3110.000000,3140.000000,3060.000000,3070.000000,2781.032471,101581300
2020-05-15,3100.000000,3130.000000,3020.000000,3100.000000,2808.208740,114753900
2020-05-18,3100.000000,3220.000000,3100.000000,3220.000000,2916.913574,108828800
2020-05-19,3250.000000,3330.000000,3250.000000,3270.000000,2962.207275,97387100
2020-05-20,3200.000000,3260.000000,3180.000000,3180.000000,2880.678467,76086600
2020-05-26,3150.000000,3280.000000,3130.000000,3250.000000,2944.089844,105792900
2020-05-27,3250.000000,3270.000000,3150.000000,3170.000000,2871.619629,128693900
2020-05-28,3180.000000,3210.000000,3130.000000,3130.000000,2835.384766,177385100
